Date,Open,High,Low,Close,Volume
2018-03-09 20:00:00,690.78,699.0,685.01,697.08,3846.29
2018-03-09 19:00:00,697.48,699.19,679.01,690.78,4252.21
2018-03-09 18:00:00,689.0,702.0,686.46,697.48,5110.79
2018-03-09 17:00:00,684.01,695.96,683.02,689.0,4233.54
2018-03-09 16:00:00,699.29,706.67,681.5,684.01,6647.61
2018-03-09 15:00:00,710.72,711.78,689.86,699.29,8403.45
2018-03-09 14:00:00,693.18,710.72,692.53,710.72,7137.49
2018-03-09 13:00:00,698.47,699.23,687.8,693.18,4177.69
2018-03-09 12:00:00,687.17,698.47,686.92,698.47,6469.64
2018-03-09 11:00:00,674.99,687.24,671.39,687.17,4650.1
2018-03-09 10:00:00,659.03,675.03,655.62,674.99,2778.74
2018-03-09 09:00:00,672.86,674.0,655.7,659.03,4552.81
2018-03-09 08:00:00,674.49,682.99,667.01,672.86,5489.76
2018-03-09 07:00:00,677.55,685.0,671.27,674.49,7016.09
2018-03-09 06:00:00,651.81,679.5,641.6,677.55,12348.13
2018-03-09 05:00:00,660.84,668.0,651.25,651.81,8258.08
2018-03-09 04:00:00,683.01,683.01,656.45,660.84,9682.73
2018-03-09 03:00:00,676.7,683.01,660.01,683.01,8036.28
2018-03-09 02:00:00,684.74,686.0,666.5,676.7,18172.89
2018-03-09 01:00:00,703.99,704.0,680.5,684.74,7776.56
2018-03-09 00:00:00,698.83,707.1,698.35,703.99,4266.4
2018-03-08 23:00:00,691.69,705.41,690.91,698.83,6828.34
2018-03-08 22:00:00,703.49,704.0,686.0,691.69,9270.32
2018-03-08 21:00:00,709.72,712.7,700.0,703.49,5107.65
2018-03-08 20:00:00,714.6,714.79,706.55,709.72,3416.38
2018-03-08 19:00:00,715.01,715.01,708.23,714.6,4957.0
2018-03-08 18:00:00,706.99,716.79,702.51,715.01,6924.89
2018-03-08 17:00:00,717.18,717.72,700.0,706.99,16982.63
2018-03-08 16:00:00,750.49,750.5,715.1,717.18,7341.8
2018-03-08 15:00:00,742.98,752.94,742.98,750.49,3400.97
2018-03-08 14:00:00,753.92,755.0,740.99,742.98,3023.52
2018-03-08 13:00:00,746.09,753.92,740.15,753.92,2634.51
2018-03-08 12:00:00,765.0,766.45,740.15,746.09,3200.98
2018-03-08 11:00:00,769.11,769.99,764.38,765.0,1283.29
2018-03-08 10:00:00,772.99,773.35,764.42,769.11,1237.57
2018-03-08 09:00:00,760.87,774.0,760.86,772.99,1896.75
2018-03-08 08:00:00,759.1,761.28,756.0,760.87,2329.39
2018-03-08 07:00:00,748.99,759.1,746.72,759.1,2141.06
2018-03-08 06:00:00,747.48,750.86,745.85,748.99,1772.03
2018-03-08 05:00:00,744.85,748.5,743.01,747.48,1999.79
2018-03-08 04:00:00,735.92,747.96,735.91,744.85,2560.16
2018-03-08 03:00:00,737.71,743.26,735.69,735.92,2803.28
2018-03-08 02:00:00,755.34,755.88,736.0,737.71,5263.83
2018-03-08 01:00:00,759.24,764.29,752.75,755.34,4084.26
2018-03-08 00:00:00,751.38,761.94,750.17,759.24,2959.96
2018-03-07 23:00:00,756.02,758.19,747.01,751.38,4755.08
2018-03-07 22:00:00,752.31,775.64,752.3,756.02,8797.05
2018-03-07 21:00:00,740.0,753.27,737.5,752.31,7476.2
2018-03-07 20:00:00,742.24,743.54,736.42,740.0,5072.53
2018-03-07 19:00:00,741.1,743.36,735.0,742.24,9281.64
2018-03-07 18:00:00,740.01,754.22,740.0,741.1,11659.54
2018-03-07 17:00:00,739.98,750.18,724.0,740.01,22266.62
2018-03-07 16:00:00,786.58,787.75,732.0,739.98,16437.58
2018-03-07 15:00:00,788.9,789.96,784.0,786.58,2895.02
2018-03-07 14:00:00,791.6,793.41,782.0,788.9,2416.72
2018-03-07 13:00:00,789.69,794.85,788.49,791.6,2479.12
2018-03-07 12:00:00,791.53,793.37,785.0,789.69,2164.13
2018-03-07 11:00:00,780.81,791.53,780.31,791.53,2382.4
2018-03-07 10:00:00,776.97,785.66,776.95,780.81,2257.88
2018-03-07 09:00:00,788.06,788.07,775.01,776.97,2584.19
2018-03-07 08:00:00,785.59,792.31,785.59,788.06,1987.34
2018-03-07 07:00:00,783.77,790.93,775.0,785.59,5598.25
2018-03-07 06:00:00,798.47,799.93,783.76,783.77,5436.59
2018-03-07 05:00:00,811.17,811.54,796.85,798.47,2841.45
2018-03-07 04:00:00,813.58,813.59,809.2,811.17,1568.37
2018-03-07 03:00:00,818.92,818.92,810.86,813.58,2240.04
2018-03-07 02:00:00,824.51,825.0,818.5,818.92,1613.4
2018-03-07 01:00:00,819.99,824.78,819.5,824.51,1464.9
2018-03-07 00:00:00,815.43,819.99,815.43,819.99,1605.46
2018-03-06 23:00:00,818.27,818.31,808.52,815.43,1814.81
2018-03-06 22:00:00,816.47,819.15,815.5,818.27,1975.13
2018-03-06 21:00:00,809.02,819.46,808.8,816.47,3505.26
2018-03-06 20:00:00,810.79,812.96,806.13,809.02,2537.31
2018-03-06 19:00:00,812.0,812.0,801.01,810.79,8022.08
2018-03-06 18:00:00,816.45,822.5,811.81,812.0,2863.38
2018-03-06 17:00:00,827.07,827.39,816.3,816.45,4384.93
2018-03-06 16:00:00,831.15,831.51,826.42,827.07,2547.33
2018-03-06 15:00:00,829.4,831.15,829.38,831.15,1927.43
2018-03-06 14:00:00,823.98,829.42,822.2,829.4,2742.87
2018-03-06 13:00:00,830.26,830.26,821.0,823.98,2437.75
2018-03-06 12:00:00,833.34,834.96,828.75,830.26,1489.09
2018-03-06 11:00:00,833.98,834.07,827.1,833.34,2031.62
2018-03-06 10:00:00,847.51,847.51,832.3,833.98,2313.01
2018-03-06 09:00:00,845.81,848.28,845.81,847.51,534.13
2018-03-06 08:00:00,847.1,848.95,844.47,845.81,1016.75
2018-03-06 07:00:00,847.83,848.12,847.0,847.1,685.12
2018-03-06 06:00:00,848.11,849.97,846.28,847.83,1164.83
2018-03-06 05:00:00,845.99,849.0,845.99,848.11,937.0
2018-03-06 04:00:00,843.17,848.0,843.17,845.99,2501.23
2018-03-06 03:00:00,843.42,843.42,841.15,843.17,1005.33
2018-03-06 02:00:00,842.75,844.55,840.14,843.42,2338.37
2018-03-06 01:00:00,841.21,842.92,838.88,842.75,2490.44
2018-03-06 00:00:00,848.83,848.83,841.2,841.21,4062.99
2018-03-05 23:00:00,853.93,854.5,848.83,848.83,1778.46
2018-03-05 22:00:00,852.65,854.61,851.37,853.93,1428.33
2018-03-05 21:00:00,853.06,853.39,850.0,852.65,2130.13
2018-03-05 20:00:00,855.51,856.87,852.01,853.06,2257.03
2018-03-05 19:00:00,858.86,860.0,853.86,855.51,2107.34
2018-03-05 18:00:00,854.5,859.81,852.99,858.86,2802.38
2018-03-05 17:00:00,856.0,856.0,854.0,854.5,2109.97
2018-03-05 16:00:00,857.0,857.0,854.0,856.0,2790.49
2018-03-05 15:00:00,858.01,859.38,854.03,857.0,2535.93
2018-03-05 14:00:00,861.39,861.39,857.7,858.01,2508.71
2018-03-05 13:00:00,864.98,865.0,861.2,861.39,1350.2
2018-03-05 12:00:00,864.99,866.0,863.57,864.98,903.82
2018-03-05 11:00:00,862.64,865.46,862.64,864.99,1242.55
2018-03-05 10:00:00,863.24,864.0,861.0,862.64,607.04
2018-03-05 09:00:00,860.65,864.22,860.02,863.24,556.56
2018-03-05 08:00:00,864.49,864.76,860.01,860.65,723.59
2018-03-05 07:00:00,863.29,864.5,863.28,864.49,1101.93
2018-03-05 06:00:00,861.76,863.29,861.75,863.29,1257.35
2018-03-05 05:00:00,864.31,864.32,859.52,861.76,1969.1
2018-03-05 04:00:00,864.5,866.0,862.95,864.31,1423.55
2018-03-05 03:00:00,862.85,864.51,862.84,864.5,1737.23
2018-03-05 02:00:00,861.84,862.98,861.83,862.85,1174.35
2018-03-05 01:00:00,861.98,861.99,860.59,861.84,1139.63
2018-03-05 00:00:00,861.74,861.98,860.45,861.98,1122.62
2018-03-04 23:00:00,860.0,861.75,853.85,861.74,3042.65
2018-03-04 22:00:00,860.5,861.65,858.79,860.0,1039.86
2018-03-04 21:00:00,864.07,864.33,860.0,860.5,1760.57
2018-03-04 20:00:00,860.99,864.9,860.99,864.07,1024.17
2018-03-04 19:00:00,864.16,865.0,860.64,860.99,1277.97
2018-03-04 18:00:00,859.25,864.66,859.25,864.16,3228.45
2018-03-04 17:00:00,856.64,859.26,856.5,859.25,695.39
2018-03-04 16:00:00,854.52,858.27,854.52,856.64,1404.83
2018-03-04 15:00:00,850.0,854.66,849.52,854.52,975.74
2018-03-04 14:00:00,852.99,853.73,850.0,850.0,772.04
2018-03-04 13:00:00,852.0,853.39,851.04,852.99,474.15
2018-03-04 12:00:00,848.21,852.0,845.16,852.0,686.82
2018-03-04 11:00:00,845.05,848.25,845.04,848.21,316.12
2018-03-04 10:00:00,848.12,848.12,845.04,845.05,425.18
2018-03-04 09:00:00,845.0,848.12,844.99,848.12,631.98
2018-03-04 08:00:00,839.25,845.0,836.37,845.0,1799.18
